DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
0.8389 | 0.008 | 0.0352 | 0.0344 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0352 | 0.0344 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0808 | 0.0726 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0168 | 0.013 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0219 | 0.0188 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0808 | 0.0726 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1406 | 0.1391 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1406 | 0.1391 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2335 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2335 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0492 | 0.0474 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0492 | 0.0474 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0808 | 0.0726 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0492 | 0.0474 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0492 | 0.0474 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.0808 | 0.0726 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1406 | 0.1391 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1406 | 0.1391 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2335 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2335 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1107 | 0.1083 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1107 | 0.1083 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1107 | 0.1083 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1107 | 0.1083 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1107 | 0.1083 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1107 | 0.1083 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1406 | 0.1391 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1406 | 0.1391 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2335 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2335 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1737 | 0.1703 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1737 | 0.1703 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1737 | 0.1703 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1737 | 0.1703 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1737 | 0.1703 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.1737 | 0.1703 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2335 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2335 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2353 | 0.2306 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2353 | 0.2306 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2353 | 0.2306 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2353 | 0.2306 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2353 | 0.2306 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2353 | 0.2306 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2353 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.8389 | 0.008 | 0.2353 | 0.2313 | 0.9966 | 0.0112 | 0.992 | 0.0055 | 0.95 | 0.05 | 1.0 | 0.005 | 

