 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 0 0| |   9857|   7608| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 1| |    588|    435| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 2| |     35|     22| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 3| |   9096|   6990| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 4| |   1850|   1373| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 5| |     75|     56| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 6| |    664|    575| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 7| |     26|     23| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 8| |     96|     82| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 9| |      5|      5| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 1 0| |   1178|    804| 0.1101| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 1 1| |     81|     75| 0.1239| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 1 2| |      6|      4| 0.1245| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 1 3| |    970|    774| 0.1098| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 1 4| |    226|    189| 0.1223| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
